Year,Country,TotalEmissions,PerCapitaEmissions,ShareOfGlobalEmissions,AverageTemperature
1897,Peru,0.040304,0.011318,0.002509,19.61925
1897,Norway,3.385536,1.578568,0.210764,0.24591671
1897,Spain,9.54472,0.519688,0.594201,14.122833
1897,Vietnam,0.523952,0.037217,0.032618,23.773333
1897,Argentina,2.081152,0.485763,0.129561,14.540083
1897,Denmark,4.623968,1.874975,0.287862,-19.019083
1897,Belarus,1.610489,0.3367,0.10026,6.3875833
1897,Canada,14.798896,2.802598,0.921296,-5.948
1897,Kyrgyzstan,0.298346,0.278476,0.018573,2.5469167
1897,Chile,0.637536,0.220695,0.039689,9.118834
1897,Ukraine,9.424136,0.412762,0.586694,7.946833
1897,Azerbaijan,0.736374,0.41131,0.045842,11.0115
1897,Turkmenistan,0.584061,0.785127,0.03636,14.337
1897,Slovakia,10.358322,3.66683,0.644851,7.340417
1897,Portugal,1.817344,0.342679,0.113138,15.229917
1897,Serbia,0.145644,0.034517,0.009067,9.637751
1897,Italy,11.918992,0.360329,0.742009,12.718917
1897,Belgium,43.744495,6.675817,2.723286,9.4685
1897,Latvia,0.237514,0.199531,0.014786,5.8259163
1897,Japan,13.542144,0.31625,0.843058,11.216
1897,Lithuania,0.442815,0.279863,0.027567,6.330333
1897,Sweden,6.855344,1.370644,0.426775,2.601
1897,Austria,23.020912,3.970236,1.433152,6.1083336
1897,Montenegro,0.004949,0.019943,0.000308,9.905167
1897,Switzerland,4.440768,1.394358,0.276457,7.11625
1897,Poland,55.091904,2.282599,3.429712,7.448917
1897,United States,500.28622,6.807557,31.145002,8.473166
1897,Croatia,0.054513,0.022541,0.003394,11.181833
1897,Turkey,0.315104,0.022847,0.019617,11.163584
1897,Indonesia,1.106528,0.03015,0.068886,25.67775
1897,Oceania,6.85168,1.164597,0.426547,21.610083
1897,Estonia,0.463443,0.684578,0.028851,5.32375
1897,Mexico,0.688832,0.052498,0.042883,20.502916
1897,Africa,4.777856,0.039878,0.297442,23.955833
1897,Bulgaria,0.10992,0.028707,0.006843,10.3485
1898,Taiwan,0.113584,0.041534,0.006704,21.860834
1898,Romania,1.711088,0.157894,0.100992,9.130167
1898,Hungary,8.533456,1.216632,0.503663,10.29275
1898,Greece,0.461664,0.09526,0.027248,14.97325
1898,Armenia,0.288408,0.343362,0.017022,7.841
1898,Asia,37.19468,0.041615,2.195309,6.98525
1898,Netherlands,12.93392,2.579588,0.763387,9.9145
1898,Kyrgyzstan,0.334606,0.309487,0.019749,1.7708333
1898,Croatia,0.082668,0.033883,0.004879,11.934334
1898,Switzerland,4.748544,1.473158,0.280269,7.4481664
1898,New Zealand,2.022528,2.591181,0.119374,9.755667
1898,Moldova,0.432646,0.297874,0.025536,9.054167
1898,Slovakia,10.589768,3.735382,0.625031,8.187583
1898,Finland,0.487312,0.188675,0.028762,1.1863333
1898,Oceania,7.635776,1.280174,0.45068,21.362333
1898,Belarus,1.806222,0.374156,0.106607,6.06525
1898,Turkmenistan,0.655046,0.872527,0.038662,13.747583
1898,Kazakhstan,3.632653,0.873699,0.214407,3.62375
1898,Malaysia,0.12824,0.06178,0.007569,25.4525
1898,Uzbekistan,1.759465,0.452607,0.103847,10.828667
1898,Germany,285.37796,5.311008,16.843615,8.61475
1898,Montenegro,0.007505,0.029982,0.000443,10.638166
1898,Ukraine,10.56951,0.458681,0.623835,7.4985833
1898,Europe,1078.459,2.735911,63.652943,8.0615
1898,Chile,0.740128,0.253024,0.043684,8.6135
1898,Estonia,0.519769,0.760779,0.030678,5.2605834
1898,Australia,5.613248,1.545321,0.331306,21.570917
1898,Italy,12.40264,0.372554,0.73203,13.083083
1898,Poland,59.844112,2.460297,3.532127,8.020083
1898,South Africa,6.049264,1.338812,0.35704,16.475416
1898,Sweden,7.298688,1.448921,0.430784,2.3591666
1898,Portugal,2.081152,0.389482,0.122834,14.8305
1898,Belgium,45.08552,6.808092,2.661043,9.88525
1898,Canada,15.707568,2.934957,0.927094,-5.4473333
1898,Norway,3.385536,1.561239,0.199822,0.042249966
1898,Japan,17.246449,0.398379,1.017922,11.900667
1898,Slovenia,0.062961,0.067483,0.003716,10.275583
1898,Azerbaijan,0.82587,0.45705,0.048745,10.419666
1898,Mexico,0.736464,0.055356,0.043468,20.060667
1898,Indonesia,1.289728,0.034711,0.076122,25.302834
1898,Russia,35.05495,0.55068,2.069018,-5.9506664
1898,United States,545.32043,7.281166,32.18597,8.427917
1898,Bulgaria,0.14656,0.037738,0.00865,10.838333
1898,Serbia,0.220866,0.051888,0.013036,10.4365
1898,France,115.04594,2.84254,6.790256,12.96225
1898,North America,561.76447,5.479282,33.156532,1.6833334
1898,Latvia,0.266381,0.221767,0.015722,5.803
1898,Lithuania,0.496633,0.310996,0.029312,6.372
1898,Austria,24.453535,4.174121,1.4433,6.8283334
1898,Argentina,2.348624,0.529648,0.138621,13.794416
1898,Spain,9.372512,0.507763,0.553186,13.681084
1898,Turkey,0.523952,0.037773,0.030925,11.318083
1898,Peru,0.087936,0.024439,0.00519,19.2642
1898,South America,3.176688,0.079845,0.187495,21.281918
1898,Vietnam,0.655856,0.046027,0.03871,23.465668
1898,United Kingdom,386.87808,10.394917,22.834368,9.031417
1898,Tajikistan,0.160853,0.169719,0.009494,2.8465
1898,Africa,6.049264,0.050115,0.35704,23.784166
1898,India,9.14031,0.037929,0.539481,24.063833
1898,Denmark,4.803504,1.924652,0.283513,-19.831167
1898,Georgia,0.43966,0.200974,0.02595,7.2910833
1899,Romania,1.61216,0.147814,0.087101,8.676916
1899,Lithuania,0.576136,0.357471,0.031127,5.95
1899,Vietnam,0.7328,0.050809,0.039591,23.221333
1899,Asia,39.560936,0.043985,2.137379,7.4605
1899,Norway,4.04872,1.847023,0.218742,-0.7348334
1899,Kyrgyzstan,0.388171,0.355772,0.020972,3.9925833
1899,Oceania,7.961872,1.316877,0.43016,21.0045
1899,Switzerland,5.122272,1.570053,0.276744,7.25425
1899,Kazakhstan,4.214185,1.004387,0.227682,5.9231668
1899,Italy,13.589776,0.405548,0.734222,12.81875
1899,Australia,5.785456,1.568641,0.312574,21.186916
1899,Uzbekistan,2.041128,0.520374,0.110277,13.023917
1899,Japan,17.272097,0.394501,0.933168,11.828
1899,Georgia,0.510043,0.231029,0.027556,8.7525835
1899,Portugal,2.14344,0.398081,0.115805,15.856667
1899,Argentina,2.920208,0.635984,0.157772,14.668
1899,Belarus,2.09537,0.430068,0.113208,5.8340836
1899,Canada,19.170048,3.526996,1.03571,-6.1385
1899,Serbia,0.257677,0.060008,0.013922,9.8215
1899,Russia,40.666706,0.633,2.197121,-5.37575
1899,United Kingdom,414.55228,11.023239,22.39723,8.786583
1899,Moldova,0.501906,0.342426,0.027117,9.013333
1899,Slovakia,10.864666,3.818671,0.586991,7.317167
1899,United States,625.5327,8.196029,33.79598,8.166833
1899,Europe,1148.6951,2.888926,62.061142,7.7858334
1899,Germany,303.28394,5.559242,16.385677,8.23675
1899,Finland,0.736464,0.28211,0.039789,-0.26658335
1899,Greece,0.241824,0.049455,0.013065,14.839167
1899,Sweden,9.134352,1.8002,0.493506,1.4955833
1899,Ukraine,12.261525,0.527227,0.66246,7.6983333
1899,Taiwan,0.080608,0.029092,0.004355,21.393417
1899,Peru,0.161216,0.044315,0.00871,19.495333
1899,Turkmenistan,0.759908,1.002982,0.041056,15.440583
1899,Armenia,0.334577,0.394735,0.018076,9.50575
1899,China,0.095264,0.000239,0.005147,6.6034164
1899,Mexico,0.754784,0.055974,0.040779,20.09725
1899,Montenegro,0.008756,0.034678,0.000473,10.097167
1899,Belgium,47.12637,7.040277,2.546121,9.649834
1899,Malaysia,0.120912,0.056503,0.006533,25.309418
1899,Turkey,0.670512,0.048064,0.036226,11.796833
1899,Slovenia,0.073454,0.07804,0.003969,9.58925
1899,Estonia,0.602975,0.874521,0.032577,4.3075833
1899,Tajikistan,0.186603,0.195116,0.010082,4.554
1899,Hungary,8.273312,1.17109,0.446986,9.447166
1899,Spain,10.6256,0.572645,0.574075,14.608
1899,South America,3.715296,0.091525,0.200728,21.6025
1899,Poland,61.917934,2.525984,3.345272,7.474583
1899,Latvia,0.309025,0.254954,0.016696,5.1431665
1899,Bulgaria,0.14656,0.037216,0.007918,10.561417
1899,Azerbaijan,0.958079,0.525332,0.051763,11.9165
1899,South Africa,5.517984,1.196515,0.298123,16.904833
1899,France,120.30011,2.966616,6.499516,13.143167
1899,New Zealand,2.176416,2.728631,0.117586,9.729167
1899,North America,645.4576,6.186092,34.872467,1.382
1899,Austria,24.816273,4.192776,1.340761,6.0771666
1899,Croatia,0.096446,0.039184,0.005211,11.19625
1899,Netherlands,13.278336,2.611081,0.717395,9.6815
1899,India,10.071202,0.041612,0.544122,24.17175
1899,Indonesia,1.124848,0.029871,0.060773,25.163584
1899,Denmark,5.250512,2.078253,0.283672,-18.95075
1899,Africa,5.517984,0.045372,0.298123,23.95125
1899,Chile,0.633872,0.214033,0.034247,9.378834
1900,Norway,4.154976,1.875903,0.212681,-0.93008333
1900,New Zealand,2.440224,2.992234,0.124908,9.970834
1900,Croatia,0.130592,0.052592,0.006685,11.826917
1900,Latvia,0.350065,0.286214,0.017919,4.9955
1900,Tajikistan,0.211386,0.219041,0.01082,3.54675
1900,Estonia,0.683055,0.981632,0.034964,4.23525
1900,India,11.949647,0.049161,0.611669,24.367832
1900,Turkmenistan,0.86083,1.125833,0.044063,13.924833
1900,Indonesia,1.20912,0.031686,0.061891,25.734583
1900,Slovakia,10.785744,3.777402,0.552092,8.050417
1900,Oceania,12.607824,2.057316,0.645359,21.574667
1900,Denmark,5.14792,2.012808,0.263508,-17.767418
1900,South Africa,2.330304,0.495075,0.119282,17.386
1900,Germany,326.7592,5.89808,16.725882,8.452084
1900,Mexico,1.000272,0.073212,0.051201,20.521584
1900,Lithuania,0.652651,0.401229,0.033407,5.847417
1900,Sweden,9.170992,1.79433,0.469437,1.3354167
1900,Hungary,9.585024,1.347083,0.49063,10.30625
1900,Europe,1204.8296,3.003874,61.67183,7.7970834
1900,Romania,1.238432,0.112805,0.063392,9.380667
1900,Austria,27.696177,4.631684,1.417689,6.67025
1900,Armenia,0.379012,0.443126,0.019401,8.243751
1900,Montenegro,0.011856,0.046549,0.000607,10.71325
1900,Taiwan,0.10992,0.039127,0.005626,21.742584
1900,Canada,20.62832,3.730444,1.055906,-5.01875
1900,Georgia,0.57778,0.259335,0.029575,7.8651667
1900,France,129.27692,3.181916,6.61732,12.987333
1900,Turkey,1.036912,0.073905,0.053077,11.91375
1900,Poland,63.30659,2.562919,3.240486,7.742417
1900,Greece,0.417696,0.084687,0.021381,15.107583
1900,Italy,13.908544,0.412272,0.711939,12.998
1900,South America,3.165696,0.076431,0.162043,21.974833
1900,Vietnam,0.51296,0.03514,0.026257,23.517666
1900,Russia,46.06754,0.710517,2.358067,-5.8743334
1900,Azerbaijan,1.085319,0.589618,0.055554,10.5825
1900,Serbia,0.348905,0.080546,0.017859,10.513083
1900,Switzerland,5.675536,1.721304,0.290515,7.3051667
1900,Belgium,49.66552,7.339338,2.542238,9.7873335
1900,Australia,10.1676,2.715918,0.520451,21.766582
1900,Asia,44.92917,0.049638,2.299797,7.1410003
1900,Africa,2.330304,0.019017,0.119282,23.9915
1900,Spain,11.219168,0.601485,0.574278,13.629416
1900,United States,664.12305,8.538319,33.994583,9.021584
1900,Ukraine,13.889945,0.591768,0.710987,7.819333
1900,Kyrgyzstan,0.439723,0.399363,0.022508,2.762
1900,Bulgaria,0.216176,0.054149,0.011065,10.962833
1900,Malaysia,0.058624,0.026594,0.003001,25.785
1900,Argentina,2.07016,0.435215,0.105966,14.80725
1900,Uzbekistan,2.312204,0.584219,0.118355,11.415
1900,Kazakhstan,4.77386,1.127475,0.24436,4.4765
1900,Chile,0.850048,0.283534,0.043512,9.305
1900,Peru,0.245488,0.066702,0.012566,20.01325
1900,Finland,0.600896,0.228184,0.030758,0.0004999439
1900,Portugal,2.465872,0.454415,0.126221,14.71175
1900,Belarus,2.37365,0.482713,0.1215,5.8199997
1900,Moldova,0.568563,0.384385,0.029103,9.44825
1900,Japan,19.411873,0.438369,0.993639,11.473667
1900,North America,685.75165,6.456886,35.101692,2.3191667
1900,Slovenia,0.09946,0.104745,0.005091,10.140833
1900,United Kingdom,419.7405,11.047036,21.485332,8.550417
1900,Netherlands,14.634016,2.836705,0.749074,9.727584
1901,Indonesia,2.242368,0.05802,0.111095,25.392416
1901,Bulgaria,0.271136,0.06701,0.013433,10.496
1901,Australia,11.439008,3.011388,0.566731,21.582582
1901,Azerbaijan,1.114235,0.599751,0.055203,11.647917
1901,Sweden,8.522464,1.655456,0.422234,2.772
1901,Belarus,2.43689,0.491025,0.120733,6.2580833
1901,Finland,0.42136,0.158339,0.020876,1.5940833
1901,Turkmenistan,0.883765,1.145298,0.043785,14.980667
1901,Malaysia,0.047632,0.020989,0.00236,25.480583
1901,Austria,28.352032,4.693066,1.404664,5.6565
1901,Armenia,0.389109,0.450827,0.019278,9.253
1901,Switzerland,5.18456,1.553378,0.256862,6.29425
1901,Hungary,9.618,1.342116,0.476511,9.386583
1901,Poland,66.89731,2.687757,3.31434,7.4069166
1901,Canada,23.845312,4.235126,1.181385,-5.05225
1901,Russia,47.294903,0.722783,2.343164,-5.4600835
1901,United Kingdom,410.70142,10.699739,20.347664,8.379167
1901,Taiwan,0.175872,0.061721,0.008713,21.3635
1901,United States,723.1818,9.122886,35.829098,8.494917
1901,Norway,3.894832,1.741593,0.192964,0.3471668
1901,Brazil,2.103136,0.113602,0.104197,24.777584
1901,Japan,23.273727,0.51974,1.153066,11.680166
1901,Slovenia,0.108584,0.113352,0.00538,9.04025
1901,Moldova,0.583711,0.391048,0.028919,9.021084
1901,Portugal,2.388928,0.436763,0.118356,14.351334
1901,Chile,1.568192,0.516768,0.077694,9.476
1901,Greece,0.417696,0.083983,0.020694,14.829416
1901,Argentina,2.49152,0.505416,0.123439,14.809333
1901,Denmark,5.360432,2.070587,0.265576,-18.001749
1901,Belgium,46.70867,6.827245,2.31412,9.049583
1901,Lithuania,0.670039,0.408139,0.033196,6.2687497
1901,Ukraine,14.26001,0.601961,0.706493,8.187417
1901,South Africa,3.909488,0.813765,0.19369,16.909166
1901,Romania,1.59384,0.144204,0.078965,8.659834
1901,Georgia,0.593174,0.263826,0.029388,8.92875
1901,Turkey,0.948976,0.067253,0.047016,12.392417
1901,New Zealand,2.740672,3.283473,0.135783,9.703917
1901,Croatia,0.142573,0.056914,0.007064,10.83475
1901,Africa,3.909488,0.031664,0.19369,24.081417
1901,Spain,11.805408,0.629323,0.584883,13.087417
1901,Netherlands,14.311584,2.734274,0.709049,9.17025
1901,Tajikistan,0.217018,0.222853,0.010752,3.8060832
1901,France,125.004684,3.070847,6.193193,12.328417
1901,India,13.201457,0.054077,0.654049,24.08425
1901,Vietnam,0.501968,0.033974,0.024869,23.436916
1901,Slovakia,11.269919,3.932884,0.558353,7.24775
1901,Europe,1194.2759,2.951547,59.168835,7.7570834
1901,Italy,13.52016,0.397968,0.669839,12.205584
1901,Kyrgyzstan,0.451439,0.406282,0.022366,2.8009164
1901,Serbia,0.380914,0.087169,0.018872,9.71425
1901,Uzbekistan,2.373807,0.594428,0.117607,12.297916
1901,Oceania,14.17968,2.282801,0.702514,21.391832
1901,Mexico,1.311712,0.09481,0.064987,20.28525
1901,Montenegro,0.012944,0.050381,0.000641,9.935166
1901,Estonia,0.701253,0.998596,0.034743,5.2301664
1901,Germany,325.5574,5.786253,16.129314,7.681083
1901,Kazakhstan,4.901048,1.147033,0.242816,5.188667
1901,Asia,51.315598,0.056336,2.542364,7.39525
1901,Peru,0.23816,0.06393,0.011799,19.71475
1901,North America,748.33887,6.922195,37.075466,2.042
1901,South America,6.401008,0.151456,0.31713,21.849667
1901,Latvia,0.359392,0.291195,0.017806,5.729
1902,Romania,1.590176,0.14295,0.076822,7.8700833
1902,Montenegro,0.012128,0.046803,0.000586,9.96375
1902,Oceania,14.43616,2.294654,0.697417,21.345333
1902,Russia,45.679363,0.691814,2.20679,-7.00275
1902,United Kingdom,426.63983,11.002196,20.611156,8.0015
1902,Lithuania,0.647152,0.390635,0.031264,4.218167
1902,Portugal,2.61976,0.475334,0.126562,14.433333
1902,South Africa,5.82576,1.188931,0.281445,16.713833
1902,Croatia,0.133587,0.052866,0.006454,10.875334
1902,Bulgaria,0.23816,0.058073,0.011506,10.035666
1902,Europe,1195.1693,2.928279,57.73915,6.9164166
1902,Tajikistan,0.209604,0.213333,0.010126,4.1321664
1902,Indonesia,1.53888,0.039285,0.074344,25.205416
1902,Canada,25.648,4.484675,1.239066,-5.1709166
1902,Spain,12.336688,0.654222,0.595991,13.32475
1902,Kyrgyzstan,0.436018,0.388896,0.021064,3.2293334
1902,Denmark,5.503328,2.099818,0.265868,-18.399416
1902,Poland,65.49033,2.611343,3.163867,6.066583
1902,Kazakhstan,4.733634,1.097973,0.228684,5.3255835
1902,Finland,0.399376,0.148482,0.019294,-0.9624167
1902,Moldova,0.563772,0.374318,0.027236,7.8033333
1902,Ukraine,13.772904,0.576148,0.665375,6.5899167
1902,Vietnam,0.399376,0.026715,0.019294,23.848417
1902,Latvia,0.347116,0.278756,0.016769,3.5875
1902,France,117.66203,2.884608,5.684304,12.391916
1902,Germany,319.18936,5.586771,15.420177,7.2566667
1902,Africa,5.82576,0.046835,0.281445,23.901917
1902,Turkmenistan,0.853576,1.096251,0.041237,15.154333
1902,Turkey,1.047904,0.073845,0.050625,11.625
1902,Slovakia,11.420669,3.971355,0.551737,6.4231668
1902,Italy,15.015072,0.43905,0.725385,12.516749
1902,Brazil,2.506176,0.132434,0.121074,24.710833
1902,Malaysia,0.051296,0.021965,0.002478,25.408583
1902,Norway,4.242912,1.87677,0.204977,-1.1969166
1902,India,14.53979,0.059305,0.702424,24.318666
1902,Netherlands,14.300592,2.693939,0.690868,8.6925
1902,Estonia,0.677299,0.955826,0.032721,2.9560833
1902,Azerbaijan,1.076174,0.574009,0.05199,11.004916
1902,China,0.095264,0.000235,0.004602,6.7446666
1902,Serbia,0.356907,0.080973,0.017242,9.512917
1902,Austria,25.695633,4.211079,1.241367,5.577
1902,Armenia,0.375818,0.43156,0.018156,8.504167
1902,Mexico,1.425296,0.101689,0.068857,20.581583
1902,New Zealand,3.04112,3.568426,0.146918,9.182834
1902,Belgium,48.855778,7.067674,2.360244,8.818833
1902,Australia,11.39504,2.958218,0.550499,21.597918
1902,Uzbekistan,2.292721,0.569076,0.110762,12.7565
1902,Taiwan,0.25648,0.088832,0.012391,21.959333
1902,South America,7.379296,0.171213,0.356497,21.780416
1902,Peru,0.098928,0.026227,0.004779,19.714417
1902,North America,793.7116,7.218364,38.344555,1.9806668
1902,Switzerland,5.235856,1.550902,0.252946,6.6406665
1902,Georgia,0.572912,0.252535,0.027678,7.8875833
1902,Argentina,2.813952,0.552302,0.135943,14.621166
1902,Belarus,2.353649,0.469965,0.113706,4.307667
1902,United States,766.6383,9.49745,37.036633,8.454
1902,Sweden,8.925504,1.721526,0.431195,0.8130833
1902,Japan,24.944511,0.550744,1.20508,11.52375
1902,Hungary,8.84856,1.226027,0.427478,8.8237505
1902,Asia,53.423958,0.058283,2.580935,6.9229164
1902,Chile,1.96024,0.63828,0.0947,9.18175
1902,Greece,0.333424,0.066462,0.016108,14.699
1902,Slovenia,0.101741,0.105292,0.004915,9.11375
1903,Croatia,0.144969,0.056868,0.006418,11.364333
1903,United Kingdom,429.98505,10.979498,19.037567,8.329333
1903,Spain,12.175472,0.641671,0.539068,13.2820835
1903,Sweden,9.804864,1.877942,0.43411,2.6065
1903,France,129.34286,3.166813,5.726649,12.592333
1903,Turkmenistan,0.83496,1.062573,0.036968,13.98575
1903,Portugal,2.520832,0.453625,0.11161,14.535666
1903,China,1.963904,0.004822,0.086952,6.1745834
1903,Malaysia,0.051296,0.021372,0.002271,25.544416
1903,Belgium,52.629696,7.524814,2.330177,9.560166
1903,New Zealand,3.16936,3.629064,0.140323,9.747916
1903,Slovakia,11.635266,4.031538,0.515151,7.83075
1903,Poland,68.48749,2.710517,3.03228,7.9286666
1903,Bulgaria,0.234496,0.056451,0.010382,10.703917
1903,Kazakhstan,4.630395,1.064302,0.205011,4.30125
1903,Armenia,0.367621,0.418339,0.016276,8.028
1903,Serbia,0.387316,0.087106,0.017148,10.18025
1903,Turkey,1.205456,0.084464,0.053372,11.360833
1903,Estonia,0.662528,0.926455,0.029333,5.8339167
1903,Greece,0.399376,0.079004,0.017682,14.599167
1903,Austria,25.699297,4.168794,1.137835,6.240083
1903,Mexico,1.5572,0.109793,0.068945,19.973667
1903,Tajikistan,0.205033,0.206803,0.009078,2.6698332
1903,Ukraine,13.472523,0.558412,0.596495,8.446333
1903,Kyrgyzstan,0.426509,0.376962,0.018884,1.4500833
1903,Indonesia,3.000816,0.075688,0.132861,25.423
1903,Oceania,14.388528,2.256566,0.637051,21.018084
1903,Slovenia,0.110409,0.113262,0.004888,9.65225
1903,Argentina,2.861584,0.541396,0.126696,14.376083
1903,Chile,2.16176,0.695579,0.095712,8.99675
1903,South Africa,7.782336,1.556091,0.344563,16.6385
1903,Asia,57.928703,0.062798,2.56479,7.1010833
1903,Africa,7.89592,0.062993,0.349591,23.683916
1903,Germany,343.59894,5.922925,15.212826,8.402416
1903,Japan,25.787231,0.563047,1.141728,11.843333
1903,Switzerland,5.671872,1.659497,0.251122,6.8306665
1903,Uzbekistan,2.242718,0.551694,0.099296,11.252167
1903,South America,7.67608,0.17453,0.339858,21.601416
1903,Peru,0.212512,0.055628,0.009409,19.485584
1903,Norway,4.239248,1.860983,0.187692,0.004499972
1903,Lithuania,0.633037,0.378608,0.028028,6.7830834
1903,United States,896.93713,10.902108,39.71185,7.97725
1903,Russia,44.683113,0.670544,1.978343,-5.3525834
1903,Latvia,0.339545,0.270222,0.015033,6.304167
1903,Vietnam,0.556928,0.036807,0.024658,23.358917
1903,Netherlands,15.2972,2.839672,0.677283,9.680167
1903,Romania,1.846656,0.164829,0.081761,9.1155
1903,Brazil,2.440224,0.126165,0.108041,24.574583
1903,Montenegro,0.013161,0.05035,0.000583,10.264501
1903,Canada,27.959984,4.771662,1.237927,-5.302583
1903,North America,926.45435,8.273639,41.01872,1.6698333
1903,Europe,1244.2699,3.022062,55.08999,8.004917
1903,Italy,15.31552,0.444506,0.678094,12.47375
1903,Belarus,2.302317,0.455496,0.101935,6.779917
1903,Georgia,0.560417,0.244784,0.024812,7.877917
1903,Denmark,5.726832,2.159651,0.253555,-18.599833
1903,Moldova,0.551476,0.362833,0.024417,9.45275
1903,India,14.826538,0.060214,0.656444,23.767416
1903,Australia,11.219168,2.872264,0.496728,21.17675
1903,Azerbaijan,1.052703,0.556318,0.046608,10.748667
1903,Zimbabwe,0.113584,0.058185,0.005029,20.994
1903,Hungary,9.174656,1.26228,0.406207,9.950666
1903,Finland,0.51296,0.188899,0.022711,1.8796666
1903,Taiwan,0.216176,0.073834,0.009571,21.396168
1904,Montenegro,0.014032,0.053219,0.000615,10.214334
1904,Azerbaijan,1.171221,0.613249,0.051307,10.5175
1904,Slovenia,0.117709,0.119693,0.005156,10.059
1904,Greece,0.355408,0.069798,0.015569,14.572333
1904,Portugal,2.579456,0.460298,0.112997,14.874917
1904,Uzbekistan,2.495212,0.608324,0.109307,11.775666
1904,Indonesia,3.367216,0.083959,0.147506,25.029333
1904,Serbia,0.412924,0.092056,0.018089,10.014584
1904,Brazil,2.61976,0.13256,0.114763,23.9955
1904,Estonia,0.737118,1.021361,0.032291,4.096333
1904,France,125.997635,3.080605,5.519532,12.81325
1904,Zimbabwe,0.142896,0.072688,0.00626,20.004333
1904,Australia,11.545264,2.913693,0.505759,20.970833
1904,Lithuania,0.704307,0.417368,0.030853,5.1669164
1904,Slovakia,11.748773,4.056338,0.514674,7.5108333
1904,Japan,29.051855,0.627249,1.272664,11.770166
1904,Turkmenistan,0.928963,1.17143,0.040695,14.284083
1904,Norway,4.15864,1.813049,0.182176,-0.3149168
1904,Armenia,0.40901,0.46124,0.017917,7.8489165
1904,Ukraine,14.989315,0.615581,0.656631,7.159917
1904,Asia,64.9997,0.070017,2.847418,7.19275
1904,Poland,69.3815,2.725631,3.03937,7.2078333
1904,Finland,0.527616,0.192429,0.023113,0.5564167
1904,Oceania,14.978432,2.316708,0.656155,20.795666
1904,Argentina,3.795904,0.691946,0.166286,14.432333
1904,Canada,33.096912,5.499878,1.449864,-5.905083
1904,Vietnam,0.802416,0.052396,0.035151,23.31625
1904,Tajikistan,0.228117,0.228016,0.009993,3.7051668
1904,Netherlands,16.165567,2.957212,0.708159,9.517333
1904,Bulgaria,0.300448,0.071428,0.013162,10.22325
1904,Kazakhstan,5.151704,1.173403,0.225679,4.9577503
1904,Taiwan,0.21984,0.074087,0.00963,21.245417
1904,Chile,1.967568,0.625673,0.086193,9.392083
1904,Denmark,6.177504,2.302691,0.270616,-18.87
1904,Spain,12.992544,0.680306,0.56916,13.843833
1904,Belarus,2.561521,0.502126,0.112212,5.0745
1904,Africa,8.910848,0.070543,0.390354,23.330084
1904,Croatia,0.154554,0.060096,0.00677,11.640083
1904,Italy,16.187551,0.466196,0.709122,12.932167
1904,Malaysia,0.032976,0.013378,0.001445,25.199
1904,Switzerland,5.961328,1.722773,0.261146,7.4129167
1904,South Africa,8.767952,1.717686,0.384094,16.596167
1904,Germany,356.12247,6.047073,15.600527,8.400333
1904,Austria,27.208864,4.368789,1.191929,6.5345836
1904,China,2.08848,0.005099,0.091489,6.3508334
1904,Kyrgyzstan,0.474527,0.415594,0.020787,2.8491666
1904,India,16.58798,0.067078,0.726664,23.7585
1904,New Zealand,3.433168,3.832704,0.150396,9.633333
1904,Peru,0.278464,0.071972,0.012199,19.483084
1904,Europe,1267.4369,3.051522,55.522144,7.6551666
1904,Latvia,0.377773,0.297939,0.016549,4.578
1904,Russia,49.713722,0.739222,2.177791,-5.4185
1904,South America,8.66536,0.193076,0.3796,21.279083
1904,United States,882.95276,10.527632,38.679188,8.200666
1904,Moldova,0.613564,0.400023,0.026878,8.4455
1904,Turkey,1.366672,0.095215,0.059869,11.2015
1904,Sweden,10.325152,1.964016,0.45231,1.7663333
1904,United Kingdom,431.99292,10.923855,18.924156,8.263833
1904,Belgium,50.35069,7.114289,2.205694,9.529
1904,Romania,2.187408,0.193823,0.095823,8.473166
1904,Hungary,9.277248,1.267476,0.406405,9.82175
1904,North America,917.76807,8.045946,40.204327,1.4875
1904,Georgia,0.623511,0.26987,0.027314,7.4321666
1904,Mexico,1.718416,0.119785,0.075278,20.090584
1904,Venezuela,0.003664,0.001291,0.000161,24.456583
1905,Turkey,1.531552,0.106094,0.062997,11.309
1905,Brazil,2.799296,0.138663,0.115143,24.739666
1905,Italy,17.84368,0.509754,0.733962,12.243084
1905,China,2.297328,0.005578,0.094496,5.7555
1905,North Korea,0.013885,0.002666,0.000571,6.85675
1905,Asia,66.2,0.070858,2.722997,6.9321666
1905,Norway,4.147648,1.796345,0.170605,0.10833329
1905,Russia,44.375713,0.65382,1.825301,-5.6870832
1905,Indonesia,4.132992,0.101934,0.170002,25.682333
1905,Latvia,0.337209,0.263554,0.01387,5.5295
1905,Georgia,0.556561,0.238704,0.022893,8.020833
1905,Armenia,0.365092,0.408,0.015017,8.2885
1905,India,16.958355,0.068281,0.697546,23.515
1905,South America,9.211296,0.201128,0.378887,21.723333
1905,France,127.42659,3.111108,5.241423,12.419666
1905,Hungary,9.431136,1.279545,0.38793,9.573334
1905,Serbia,0.448134,0.099035,0.018433,9.72725
1905,Montenegro,0.015228,0.057255,0.000626,9.83625
1905,Taiwan,0.252816,0.084102,0.010399,21.615833
1905,New Zealand,3.539424,3.847823,0.145587,9.612833
